1	26.51	6.3	2.5	4.9	1.5	16.3	-4.6	7.4	4.81	-1.44	10.20	12.97	-0.86	27.98
0	23.31	4.5	2.3	1.3	0.3	4.5	2.3	2.3	9.80	-11.82	4.66	12.00	-11.06	9.62
1	35.11	6.7	3.3	5.7	2.1	26.7	-10.9	14.7	-9.26	3.28	18.42	1.78	3.20	48.06
0	36.22	5	3.6	1.4	0.2	5	3.6	3.6	17.98	-20.54	7.24	20.38	-19.62	12.96
0	44.43	5.7	4.4	1.5	0.4	5.7	4.4	4.4	25.09	-25.51	8.88	27.73	-24.23	15.46
1	29.35	6.1	2.8	4	1.3	16.1	-4.3	6.8	4.11	-3.73	9.86	11.33	-3.29	27.32
1	33.45	6.7	3.1	5.6	2.4	26.7	-11.1	14.3	-7.66	4.74	17.88	3.28	4.92	47.44
1	28.36	5.6	2.7	4.2	1.3	15.6	-4.4	6.9	3.78	-3.51	9.86	11.10	-3.09	26.84
1	31.76	6.7	3	5	1.7	16.7	-4.1	8	4.46	-4.54	11.34	12.80	-3.66	29.64
0	38.47	5.1	3.8	1.9	0.4	5.1	3.8	3.8	19.61	-21.81	7.68	22.53	-20.65	13.54
0	32.28	4.4	3.2	1.3	0.2	4.4	3.2	3.2	14.72	-18.24	6.44	16.90	-17.40	11.48
1	30.49	6.1	2.9	4.7	1.4	16.1	-4.2	7.6	4.01	-4.40	10.78	11.93	-3.84	28.40
1	31.69	7.2	3	5.8	1.6	27.2	-11.2	14.6	-6.31	5.99	17.92	4.93	5.35	48.04
0	31.29	4.8	3.1	1.6	0.2	4.8	3.1	3.1	14.50	-17.12	6.24	17.06	-16.30	11.66
1	31.49	6.6	3	4.4	1.4	16.6	-4.1	7.4	4.39	-4.61	10.68	12.11	-4.03	28.76
1	23.60	6.2	2.2	4.5	1.5	16.2	-4.9	6.7	5.52	0.68	9.20	13.26	1.20	26.74
1	29.30	6.1	2.8	4.7	1.2	16.1	-4.3	7.5	4.16	-3.68	10.54	12.08	-3.34	28.14
0	39.51	5.4	3.9	1.3	0.4	5.4	3.9	3.9	20.72	-22.18	7.88	23.10	-21.00	14.06
0	38.41	5.1	3.8	1.5	0.3	5.1	3.8	3.8	19.65	-21.77	7.66	22.17	-20.71	13.52
1	31.92	6	3	4.8	1.8	26	-11.2	12.6	-7.48	4.82	15.96	2.52	4.38	44.48
1	26.23	5.1	2.5	3	1.1	15.1	-4.6	5.5	3.73	-2.52	8.22	9.75	-2.34	24.42
0	35.33	5.1	3.5	1.4	0.2	5.1	3.5	3.5	17.48	-19.62	7.04	19.90	-18.72	12.84
1	35.73	6	3.4	4.5	1.6	16	-3.7	7.9	3.55	-8.01	11.62	11.25	-7.15	29.20
1	31.34	5.7	3	4.2	1.2	15.7	-4.1	7.2	3.54	-5.46	10.44	10.88	-5.08	27.58
1	32.14	6.5	3	5.2	2	26.5	-11.2	13.4	-6.96	5.34	16.80	3.54	5.10	45.98
1	31.95	6.5	3	5.5	1.8	26.5	-11.2	14	-6.95	5.35	17.36	3.85	4.91	46.66
0	34.35	4.8	3.4	1.6	0.2	4.8	3.4	3.4	16.51	-19.19	6.84	19.07	-18.31	12.32
1	33.46	6.9	3.1	5.1	2.3	26.9	-11.1	13.3	-7.35	5.05	16.86	3.13	5.13	46.42
1	30.47	5.7	2.9	4.2	1.3	15.7	-4.2	7.1	3.69	-4.72	10.26	11.03	-4.26	27.38
0	30.39	4.9	3	1.4	0.2	4.9	3	3	14.09	-16.21	6.04	16.47	-15.41	11.54
1	33.70	6.4	3.2	4.5	1.5	16.4	-3.9	7.7	4.12	-6.12	11.20	11.90	-5.40	29.14
1	32.71	6.9	3.1	4.9	1.5	16.9	-4	8	4.71	-4.90	11.40	12.99	-4.20	29.90
0	32.41	5	3.2	1.2	0.2	5	3.2	3.2	15.45	-17.51	6.44	17.65	-16.67	12.08
0	42.41	5.5	4.2	1.4	0.2	5.5	4.2	4.2	23.35	-24.11	8.44	25.85	-23.07	14.78
1	25.21	4.9	2.4	3.3	1	14.9	-4.7	5.7	3.83	-1.93	8.30	10.11	-1.87	24.34
1	28.22	5.8	2.7	4.1	1	15.8	-4.4	6.8	4.14	-3.15	9.70	11.40	-3.03	26.86
0	34.52	4.6	3.4	1.4	0.3	4.6	3.4	3.4	16.38	-19.32	6.86	18.70	-18.34	12.14
0	30.32	4.8	3	1.4	0.1	4.8	3	3	14.02	-16.28	6.02	16.38	-15.58	11.42
1	32.72	6.7	3.1	4.7	1.5	16.7	-4	7.8	4.52	-5.09	11.20	12.56	-4.39	29.46
1	32.33	7.1	3	5.9	2.1	27.1	-11.2	14.8	-6.27	6.03	18.22	5.05	5.89	48.28
